19.1.2.19. Gyümölcstermelés vármegye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Heves;vármegye;4 800;3 123;2 748;6 290;11 545;8 383;8 240;3 271;10 869;9 111;7 481;3 179;4 081;8 746;8 311;7 474;3 671;3 379;8 662;10 820;8 691;8 727;2 623;3 964
Nógrád;vármegye;2 010;2 212;2 700;2 800;2 908;1 088;1 924;640;4 824;2 089;733;756;999;619;902;582;870;868;1 624;441;754;1 295;933;1 663
Észak-Magyarország;régió;37 710;35 479;29 352;37 195;47 855;39 317;33 304;14 138;41 354;38 469;48 355;39 208;75 518;67 169;64 963;53 637;43 693;40 434;62 445;45 273;35 056;29 039;21 724;20 396
Hajdú-Bihar;vármegye;31 000;18 900;23 491;25 400;37 900;30 979;28 948;5 278;29 740;23 786;35 020;37 905;45 192;45 972;65 366;37 848;39 848;37 204;71 451;35 751;18 049;18 349;11 688;13 895
Jász-Nagykun-Szolnok;vármegye;5 189;2 103;2 393;1 316;1 717;1 531;1 870;2 395;2 304;1 406;948;1 923;2 868;2 749;2 323;1 870;616;1 366;1 260;979;156;923;541;849
Szabolcs-Szatmár-Bereg;vármegye;440 000;437 954;385 480;286 000;416 000;241 000;325 077;19 138;336 090;326 719;280 894;81 030;413 845;310 100;502 165;277 574;305 509;266 545;387 307;295 407;265 777;384 013;234 265;354 387
Észak-Alföld;régió;476 189;458 957;411 364;312 716;455 617;273 510;355 895;26 811;368 134;351 911;316 862;120 858;461 905;358 821;569 854;317 292;345 973;305 115;460 018;332 137;283 982;403 285;246 494;369 131
Bács-Kiskun;vármegye;45 160;29 000;11 800;50 174;53 267;63 809;36 114;25 524;34 735;42 360;37 400;31 502;15 510;30 857;24 137;17 999;29 425;26 031;26 166;20 758;15 690;15 677;15 993;15 684
Békés;vármegye;989;1 020;1 122;1 106;1 658;1 996;2 042;2 090;2 505;2 805;2 220;2 730;2 484;2 915;3 031;2 915;3 059;2 092;3 940;3 524;2 579;1 307;1 432;1 427
Csongrád-Csanád;vármegye;9 054;6 540;3 764;4 516;16 562;10 288;11 009;11 731;9 835;14 981;6 364;8 519;1 733;11 199;5 428;5 221;6 010;5 767;5 560;5 474;2 373;4 186;3 731;5 657
Dél-Alföld;régió;55 203;36 560;16 686;55 796;71 487;76 093;49 165;39 345;47 075;60 146;45 984;42 751;19 726;44 971;32 596;26 135;38 494;33 890;35 666;29 756;20 642;21 170;21 156;22 768
Alföld és Észak;nagyrégió;569 102;530 996;457 402;405 707;574 959;388 920;438 364;80 294;456 563;450 526;411 201;202 817;557 148;470 960;667 413;397 064;428 160;379 439;558 129;407 166;339 680;453 494;289 374;412 295
Ország összesen;ország;694 586;605 440;526 865;507 505;700 391;510 361;537 345;170 901;568 573;575 368;496 916;292 810;650 595;591 866;779 853;511 460;497 108;473 662;678 775;498 330;398 710;514 518;350 097;486 297
körte;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;2 060;1 750;948;480;932;948;678;22;138;57;119;256;241;789;301;314;429;255;586;197;4;2;1;1
Pest;vármegye, régió;5 300;3 498;1 226;659;731;1 179;1 513;540;797;1 512;985;953;734;1 924;1 357;1 194;656;514;911;2 721;1 899;1 982;775;1 542
Közép-Magyarország;nagyrégió;7 360;5 248;2 174;1 139;1 663;2 127;2 191;562;935;1 569;1 104;1 209;975;2 713;1 658;1 508;1 085;769;1 497;2 918;1 903;1 984;776;1 543
Fejér;vármegye;1 255;956;1 012;706;1 058;1 240;1 507;287;326;543;329;303;284;362;362;312;253;247;256;487;768;539;711;252
Komárom-Esztergom;vármegye;784;760;383;87;60;60;160;143;91;190;579;273;273;282;172;105;106;90;92;104;57;57;31;35
Veszprém;vármegye;2 139;809;350;310;600;506;886;600;574;951;261;358;513;854;588;1 021;1 029;1 097;907;642;372;414;459;380
Közép-Dunántúl;régió;4 178;2 525;1 745;1 103;1 718;1 806;2 553;1 030;991;1 684;1 169;934;1 070;1 497;1 122;1 438;1 388;1 434;1 255;1 233;1 197;1 010;1 201;667
Gyõr-Moson-Sopron;vármegye;3 956;1 255;950;1 077;1 688;1 395;1 327;132;143;133;124;140;285;294;239;430;539;369;415;671;951;610;206;218
Vas;vármegye;415;375;200;502;413;450;1 304;524;629;803;951;569;358;314;567;1 134;879;753;652;937;515;482;380;456
Zala;vármegye;6 900;540;825;5 500;1 965;3 475;3 711;4 570;3 957;4 405;4 224;2 414;1 792;4 526;2 219;4 758;1 417;2 573;3 207;2 014;1 471;2 079;1 492;1 301
Nyugat-Dunántúl;régió;11 271;2 170;1 975;7 079;4 066;5 320;6 342;5 226;4 729;5 341;5 299;3 123;2 434;5 133;3 025;6 322;2 835;3 695;4 274;3 622;2 937;3 171;2 078;1 975
Baranya;vármegye;740;444;100;174;180;180;77;66;70;90;552;474;180;654;558;651;520;552;497;498;565;575;516;391
Somogy;vármegye;2 470;1 500;755;853;523;527;1 128;608;992;2 194;1 892;2 081;1 071;3 059;1 787;2 411;1 799;2 003;1 869;1 638;1 198;1 112;784;745
Tolna;vármegye;493;414;390;420;448;264;445;227;228;195;117;168;137;185;225;315;258;247;241;212;199;236;321;337
Dél-Dunántúl;régió;3 703;2 358;1 245;1 447;1 151;971;1 650;901;1 290;2 479;2 561;2 723;1 388;3 898;2 570;3 377;2 577;2 802;2 607;2 348;1 962;1 923;1 621;1 473
Dunántúl;nagyrégió;19 152;7 053;4 965;9 629;6 935;8 097;10 545;7 157;7 010;9 504;9 029;6 780;4 892;10 529;6 717;11 137;6 800;7 931;8 136;7 203;6 096;6 104;4 900;4 115
Borsod-Abaúj-Zemplén;vármegye;4 350;4 480;3 026;2 510;2 728;3 985;5 819;397;2 541;5 161;3 983;3 333;3 664;3 507;3 566;7 234;5 492;4 929;6 466;2 960;3 744;4 298;2 429;2 960
Heves;vármegye;270;134;136;479;2 183;512;1 286;152;742;987;1 027;906;561;833;709;899;551;516;628;951;1 499;1 455;998;1 883
Nógrád;vármegye;1 200;1 352;240;245;303;296;451;285;33;57;278;88;76;25;30;31;57;61;62;148;292;329;221;257
Észak-Magyarország;régió;5 820;5 966;3 402;3 234;5 214;4 793;7 556;834;3 316;6 205;5 288;4 327;4 301;4 365;4 305;8 164;6 100;5 506;7 156;4 059;5 535;6 082;3 648;5 100
Hajdú-Bihar;vármegye;500;700;680;750;570;845;1 045;326;995;871;1 054;1 064;869;969;880;1 812;449;502;477;320;133;154;213;196
Jász-Nagykun-Szolnok;vármegye;839;250;443;376;379;140;495;185;392;190;199;170;494;592;582;544;183;204;196;239;584;666;370;510
Szabolcs-Szatmár-Bereg;vármegye;1 230;651;586;1 100;1 586;1 360;7 873;929;6 443;7 704;3 130;1 263;1 567;5 869;5 215;10 010;5 567;5 269;5 710;5 257;3 976;4 294;1 952;2 287
Észak-Alföld;régió;2 569;1 601;1 709;2 226;2 535;2 345;9 413;1 440;7 830;8 765;4 383;2 497;2 930;7 430;6 677;12 366;6 199;5 975;6 383;5 816;4 693;5 114;2 535;2 993
Bács-Kiskun;vármegye;1 065;450;200;1 970;1 036;1 390;1 588;703;1 766;4 749;2 942;1 033;647;1 549;541;2 465;2 060;2 237;1 774;1 214;1 169;1 343;1 207;1 529
Békés;vármegye;636;564;508;356;385;302;493;335;397;564;676;716;584;586;555;427;430;476;555;642;252;334;207;434
Csongrád-Csanád;vármegye;306;195;124;226;609;682;1 053;768;775;900;754;765;294;516;344;726;409;439;447;512;682;759;589;667
Dél-Alföld;régió;2 007;1 209;832;2 552;2 030;2 374;3 134;1 806;2 938;6 213;4 372;2 514;1 525;2 651;1 440;3 618;2 899;3 152;2 776;2 368;2 103;2 436;2 003;2 630
Alföld és Észak;nagyrégió;10 396;8 776;5 943;8 012;9 779;9 512;20 103;4 080;14 084;21 183;14 043;9 338;8 756;14 446;12 422;24 148;15 198;14 633;16 315;12 243;12 331;13 632;8 186;10 723
Ország összesen;ország;36 908;21 077;13 082;18 780;18 377;19 736;32 839;11 799;22 029;32 256;24 176;17 327;14 622;27 688;20 797;36 793;23 083;23 333;25 948;22 364;20 330;21 720;13 862;16 381
meggy;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 220;1 460;250;522;513;347;211;417;495;1 219;652;1 532;1 220;1 683;2 188;1 672;2 005;1 758;2 249;940;40;31;23;22
Pest;vármegye, régió;9 000;9 900;3 309;3 951;5 760;4 274;5 669;4 836;6 617;8 340;6 827;9 074;8 033;14 179;12 747;9 210;7 555;8 620;8 837;6 909;4 416;5 772;6 894;5 249
Közép-Magyarország;nagyrégió;10 220;11 360;3 559;4 473;6 273;4 621;5 880;5 253;7 112;9 559;7 479;10 606;9 253;15 862;14 935;10 882;9 560;10 378;11 086;7 849;4 456;5 803;6 917;5 271
Fejér;vármegye;3 800;3 270;2 636;2 208;3 448;4 170;5 092;4 205;6 332;6 223;3 055;6 052;4 366;5 140;6 333;6 095;4 940;3 903;4 424;4 707;4 506;4 321;3 489;3 348
Komárom-Esztergom;vármegye;313;340;352;190;280;250;240;215;42;98;80;63;76;74;72;21;18;17;28;28;24;10;8;10
Veszprém;vármegye;2 717;2 966;1 597;3 198;2 397;2 971;2 710;2 679;3 597;4 002;1 231;1 470;1 147;1 078;1 143;1 212;1 091;1 304;1 394;1 587;1 675;1 848;1 041;973
Közép-Dunántúl;régió;6 830;6 576;4 585;5 596;6 125;7 391;8 042;7 099;9 971;10 323;4 366;7 585;5 589;6 292;7 548;7 328;6 049;5 224;5 846;6 322;6 205;6 179;4 538;4 331
Gyõr-Moson-Sopron;vármegye;1 192;820;699;1 146;1 493;1 422;1 749;1 127;2 828;5 391;2 199;3 275;3 179;3 778;5 145;5 020;4 639;4 085;5 063;5 490;6 751;5 094;5 228;2 884
Vas;vármegye;300;140;142;288;240;329;293;471;829;366;376;395;337;364;343;579;336;310;608;334;315;236;542;371
Zala;vármegye;268;132;101;70;50;162;375;577;605;865;617;817;272;678;776;813;686;1 116;1 095;1 114;1 282;951;1 524;849
Nyugat-Dunántúl;régió;1 760;1 092;942;1 504;1 783;1 913;2 417;2 175;4 262;6 622;3 192;4 487;3 788;4 820;6 264;6 412;5 661;5 511;6 766;6 938;8 348;6 281;7 294;4 104
Baranya;vármegye;1 425;2 026;622;1 148;1 681;1 234;682;677;784;866;1 127;1 673;853;1 743;1 595;1 548;1 239;1 300;1 083;259;357;261;216;177
Somogy;vármegye;1 700;1 500;778;1 756;1 843;1 827;2 159;1 232;2 263;2 636;1 197;1 496;881;1 784;1 588;947;1 109;1 161;851;594;744;574;384;475
Tolna;vármegye;526;514;394;555;600;310;318;505;482;464;92;481;710;795;730;712;1 532;1 481;1 512;815;1 078;881;710;404
Dél-Dunántúl;régió;3 651;4 040;1 794;3 459;4 124;3 371;3 159;2 414;3 529;3 966;2 416;3 650;2 445;4 322;3 913;3 207;3 880;3 942;3 446;1 668;2 179;1 716;1 310;1 056
